Article Title,Publication Year,Actionable Recommendation,Impacted Genes
Role of Circulating Biomarkers in Platinum-Resistant Ovarian Cancer,2021,"Target CA125 with specific single-chain antibodies to downregulate its expression and increase cisplatin cytotoxicity, potentially overcoming platinum resistance in ovarian cancer cells.",ACPP
Role of Circulating Biomarkers in Platinum-Resistant Ovarian Cancer,2021,Monitor serum HE4 levels during chemotherapy as a predictive biomarker for platinum resistance in ovarian cancer patients.,NACA2
Role of Circulating Biomarkers in Platinum-Resistant Ovarian Cancer,2021,Consider mesothelin (MSLN) expression as a prognostic biomarker and potential therapeutic target in platinum-resistant ovarian cancer due to its association with worse progression-free and overall survival.,POTEE
Role of Circulating Biomarkers in Platinum-Resistant Ovarian Cancer,2021,Apply hypomethylating agents such as azacitidine in combination with carboplatin to potentially restore platinum sensitivity in platinum-resistant ovarian cancer patients with DNA methylation alterations.,KDM3B
Role of Circulating Biomarkers in Platinum-Resistant Ovarian Cancer,2021,"Use circulating miRNAs as predictive biomarkers for chemotherapy response and prognosis in platinum-resistant ovarian cancer, although further validation is needed due to limited data and high cost.","EIF4A1, EIF5AL1, RBM41"
Role of Circulating Biomarkers in Platinum-Resistant Ovarian Cancer,2021,"Measure neutrophil-lymphocyte ratio (NLR) and platelet-lymphocyte ratio (PLR) as simple, cost-effective prognostic and predictive biomarkers for platinum resistance and survival outcomes in ovarian cancer patients.",PPIG
Role of Circulating Biomarkers in Platinum-Resistant Ovarian Cancer,2021,Investigate histone deacetylase inhibitors targeting enzymes such as SIRT1 to overcome drug resistance and aggressiveness in ovarian cancer cells as a novel therapeutic strategy.,"KDM3B, HIST2H2AC"
Role of Circulating Biomarkers in Platinum-Resistant Ovarian Cancer,2021,"Consider immune-related biomarkers including circulating T-cell and B-cell activation status, soluble PD-1 and PD-L1 levels, and myeloid-derived suppressor cells (MDSC4) to predict response to immunotherapy and chemotherapy in ovarian cancer patients.","SSB, WBP11P1"
106,2017,"Use CA125 as a standard biomarker for epithelial ovarian cancer (EOC) surveillance and prognosis prediction, with levels >35 U/mL suggestive of malignancy and levels >65 U/mL associated with lower 5-year survival.",ACPP
106,2017,Combine CA125 and HE4 measurements to improve sensitivity and specificity for early detection of ovarian cancer recurrence and monitoring response to treatment.,ACPP
106,2017,"Incorporate HE4 measurement in routine follow-up of epithelial ovarian cancer patients to detect recurrence earlier than CA125 alone, as HE4 can rise before CA125 in some cases.",ACPP
106,2017,"Consider osteopontin (OPN) as an adjunct biomarker alongside CA125 for earlier detection of ovarian cancer recurrence, pending further clinical validation.",POTEE
106,2017,"Use paraneoplastic antigen antibody panels (including HARS, Ro52, CDR2, 5H6) to predict ovarian cancer recurrence earlier than CA125 elevation or clinical relapse, especially when CA125 is below threshold.",NACA2
106,2017,"Investigate microRNA (miRNA) panels as prognostic biomarkers for ovarian cancer recurrence and chemotherapy resistance, with potential for future clinical screening tools.","RBM41, ZNF511, PPIG"
106,2017,"Target cancer stem cell (CSC) markers such as CD44, EpCAM, and ALDH1 for development of new therapeutic strategies and biomarkers to monitor ovarian cancer recurrence and chemoresistance.","CDKN2AIPNL, GPR123, PPIG"
Role of different non-coding RNAs as ovarian Cancer biomarkers,2010,"Employ specific long non-coding RNAs (lncRNAs) such as H19, HOTAIR, XIST, UCA1, MALAT-1, PVT1, GAS5, HOXD-AS1, and SPRY4-IT1 as biomarkers for diagnosis, prognosis, and therapeutic targeting in ovarian cancer.",POTEE
Role of different non-coding RNAs as ovarian Cancer biomarkers,2010,"Incorporate circulating miRNAs as non-invasive diagnostic and prognostic biomarkers for ovarian cancer, with emphasis on miRNAs such as miR-29b, miR-125b, miR-141, miR-200 family, miR-130a, and others that show differential expression in ovarian cancer tissues and serum.","EIF4A1, EIF5AL1, NACA2, RPL19P12, PPIG, RBM41, SSB"
109,2000,Use miRNA expression profiles in serum/plasma as non-invasive biomarkers for early diagnosis of ovarian cancer to improve prognosis.,"EIF4A1, EIF5AL1"
109,2000,"Develop and validate miRNA-based assays using molecular clustering analysis and bioinformatics to enable rapid, efficient, and cost-effective detection of ovarian cancer in early stages.","EIF4A1, EIF5AL1"
109,2000,"Target miRNAs therapeutically to modulate ovarian cancer progression and chemoresistance, including overexpression of tumor suppressor miRNAs or inhibition of oncogenic miRNAs.","EIF4A1, EIF5AL1"
"Sensitivity and specificity of microRNA-204, CA125, and CA19.9 as biomarkers for diagnosis of ovarian cancer",2022,Use microRNA-204 as a biomarker for early detection of ovarian cancer due to its high diagnostic performance with AUCs of 0.924 and 0.942 for early and late ovarian cancer respectively.,NACA2
"Sensitivity and specificity of microRNA-204, CA125, and CA19.9 as biomarkers for diagnosis of ovarian cancer",2022,"Combine microRNA-204, CA125, and CA19.9 for improved early detection of ovarian tumors and cancer, as this combination shows the highest diagnostic performance with AUCs of 0.938, 1.000, and 0.998 for benign, early-stage, and late-stage ovarian cancers respectively.",NACA2
06-1828 2385..2391,2007,"Use serum IL-7 levels in combination with CA-125 measurements to improve the accuracy of distinguishing malignant ovarian tumors from benign pelvic masses, achieving 69% accurate classification without false positives for benign tumors.",NACA2
06-1828 2385..2391,2007,"Monitor serum IL-7 levels as a prognostic marker in ovarian cancer patients, as elevated IL-7 is associated with shorter overall survival and progression-free survival, although it is not an independent prognostic marker when accounting for clinical parameters.",NACA2
"Serum Exosomes From Epithelial Ovarian Cancer Patients Contain LRP1, Which Promotes the Migration of Epithelial Ovarian Cancer Cell",2010,Target exosomal LRP1 to inhibit migration and metastasis of epithelial ovarian cancer cells by interfering with the p-ERK/MMP2/MMP9 signaling pathway.,LRRC37A3
"Serum Exosomes From Epithelial Ovarian Cancer Patients Contain LRP1, Which Promotes the Migration of Epithelial Ovarian Cancer Cell",2010,Consider experimental manipulation of LRP1 expression in EOC cells to study and potentially control tumor growth and metastasis in vivo.,LRRC37A3
The Role of CA‐125 in the Management of Ovarian Cancer: A Systematic Review,2024,"Monitor CA-125 levels continuously during ovarian cancer treatment and follow-up to assess treatment response, predict recurrence, and stratify patients into low-risk or high-risk categories for better clinical management.",ACPP
The Role of CA‐125 in the Management of Ovarian Cancer: A Systematic Review,2024,Use CA-125 in combination with other biomarkers such as HE4 and ROMA to improve diagnostic accuracy and sensitivity for ovarian cancer detection.,ACPP
The Role of CA‐125 in the Management of Ovarian Cancer: A Systematic Review,2024,"In patients undergoing chemotherapy, monitor the reduction in CA-125 levels, especially after the third or fourth cycle, to predict treatment response and risk of relapse, and adjust treatment plans accordingly.",ACPP
The Role of CA‐125 in the Management of Ovarian Cancer: A Systematic Review,2024,"For patients with elevated pre-treatment CA-125 levels (≥35 U/mL), classify them as high-risk for relapse or mortality and consider more aggressive monitoring and treatment strategies.",ACPP
The Role of CA‐125 in the Management of Ovarian Cancer: A Systematic Review,2024,Use serial CA-125 measurements post-treatment to detect early recurrence and initiate timely clinical evaluation and intervention to potentially improve survival and quality of life.,ACPP
"The Role of Interleukin 6 (IL6), Cancer Antigen—125 (CA-125), and Human Epididymis Protein 4 (HE4) to predict tumor resectability in the advanced epithelial ovarian cancer patients",2023,"Measure serum IL6 levels pre-operatively in patients with advanced epithelial ovarian cancer to predict tumor resectability, using a cut-off point of 128.53 pg/ml to guide clinical decision-making for optimal cytoreductive surgery.",EIF4A1
"The Role of Interleukin 6 (IL6), Cancer Antigen—125 (CA-125), and Human Epididymis Protein 4 (HE4) to predict tumor resectability in the advanced epithelial ovarian cancer patients",2023,"Use pre-operative CA-125 serum levels as a biomarker to predict tumor resectability in advanced epithelial ovarian cancer patients, with a cut-off point of 13249.50 U/ml to inform surgical planning and management.",EIF4A1
"The Role of Interleukin 6 (IL6), Cancer Antigen—125 (CA-125), and Human Epididymis Protein 4 (HE4) to predict tumor resectability in the advanced epithelial ovarian cancer patients",2023,"Evaluate HE4 serum levels pre-operatively as a highly sensitive and specific biomarker to predict tumor resectability in advanced epithelial ovarian cancer, using a cut-off point of 410.40 pmol/L to optimize surgical outcomes.",EIF4A1
The Value of Plasma-Based MicroRNAs as Diagnostic Biomarkers for Ovarian Cancer,2019,"Use plasma levels of miR-205-5p, miR-145-5p, miR-10a-5p, miR-346, and miR-328-3p as a noninvasive diagnostic biomarker panel for ovarian cancer.","NACA2, EIF4A1, EIF5AL1, RACGAP1P, PPIG"
The Value of Plasma-Based MicroRNAs as Diagnostic Biomarkers for Ovarian Cancer,2019,Monitor plasma miR-205-5p levels to reflect histological grade changes in ovarian cancer patients.,NACA2
The biological significance and clinical applications of exosomes in ovarian cancer,2016,"Use exosomal microRNA profiles, including miR-21, as biomarkers for early detection and monitoring of ovarian cancer progression and drug resistance.","EIF4A1, EIF5AL1, RPL19P12, PSMD14, PPIG, SSB, RBM41, PELP1"
The biological significance and clinical applications of exosomes in ovarian cancer,2016,"Target exosome production and secretion pathways, such as inhibiting ceramide synthesis with GW4869 or blocking Rab27a, to reduce exosome-mediated tumor progression and metastasis in ovarian cancer.","HSP90B3P, PSMD14, PPIG"
The biological significance and clinical applications of exosomes in ovarian cancer,2016,Develop exosome-based immunotherapies by utilizing tumor-derived exosomes as antigen-presenting entities to stimulate anti-tumor immune responses in ovarian cancer.,"PELP1, SSB"
The biological significance and clinical applications of exosomes in ovarian cancer,2016,"Employ exosome-facilitated drug delivery systems to improve solubility, stability, and targeting of chemotherapeutic agents, potentially reducing toxicity and enhancing efficacy in ovarian cancer treatment.","PELP1, SSB"
The biological significance and clinical applications of exosomes in ovarian cancer,2016,"Monitor exosomal proteins such as CD24, EpCAM, and others as prognostic markers to guide treatment planning and predict tumor progression in ovarian cancer patients.","PELP1, SSB"
Sensitive and Cost‐Effective Tools in the Detection of Ovarian Cancer Biomarkers,2024,"Develop and implement biosensor-based assays for early detection and monitoring of ovarian cancer using biomarkers such as CA125, HE4, and apolipoprotein A1 to improve diagnostic accuracy and patient outcomes.",POTEE
Sensitive and Cost‐Effective Tools in the Detection of Ovarian Cancer Biomarkers,2024,Utilize advanced nanoparticle-enhanced immunosensors and aptasensors for sensitive and specific detection of CA125 and HE4 biomarkers in clinical serum samples to enable early diagnosis and personalized treatment planning.,POTEE
Sensitive and Cost‐Effective Tools in the Detection of Ovarian Cancer Biomarkers,2024,Incorporate biosensor technologies capable of detecting small extracellular vesicles (sEVs) carrying biomolecules for improved ovarian cancer diagnosis and monitoring.,POTEE
The paradigm shift in advanced ovarian cancer: Outcomes of extensive primary cytoreductive surgery. A single-center retrospective analysis,2010,"Implement extensive primary debulking surgery (PDS) with maximal surgical effort including upper abdominal procedures and systematic removal of the peritoneum to achieve complete cytoreduction (residual disease = 0) in patients with advanced high-grade ovarian carcinoma (HGOC), as it significantly improves overall survival without increasing surgical morbidity.",ACPP
The paradigm shift in advanced ovarian cancer: Outcomes of extensive primary cytoreductive surgery. A single-center retrospective analysis,2010,"Use first-line and second-line maintenance therapies, including Bevacizumab and PARP inhibitors, in patients with advanced HGOC after cytoreductive surgery to improve progression-free survival (PFS) and overall survival (OS).",ACPP
Trace Amine-Associated Receptor 1 (TAAR1) Is a Positive Prognosticator for Epithelial Ovarian Cancer,1990,"Use TAAR1 expression as a prognostic biomarker in epithelial ovarian cancer patients, where high TAAR1 expression correlates with better overall survival and is significantly higher in low-grade serous carcinoma.",TTF1
Trace Amine-Associated Receptor 1 (TAAR1) Is a Positive Prognosticator for Epithelial Ovarian Cancer,1990,"Consider TAAR1 as a potential novel therapeutic target in ovarian cancer patients to improve overall survival, pending further studies to establish its exact role in ovarian cancer cells.",TTF1
Trace Amine-Associated Receptor 1 (TAAR1) Is a Positive Prognosticator for Epithelial Ovarian Cancer,1990,"Monitor TAAR1 expression levels in ovarian cancer tissue to stratify patients by prognosis, as high membrane and/or cytoplasmic TAAR1 expression is associated with longer overall survival.",TTF1
Trace Amine-Associated Receptor 1 (TAAR1) Is a Positive Prognosticator for Epithelial Ovarian Cancer,1990,"Investigate the interaction between TAAR1 and estrogen receptor alpha (ER-α) and progesterone receptors (PR-A and PR-B) in ovarian cancer, as TAAR1 expression correlates positively with these hormone receptors, which may influence tumor progression and patient prognosis.",TTF1
Trace Amine-Associated Receptor 1 (TAAR1) Is a Positive Prognosticator for Epithelial Ovarian Cancer,1990,"Further research is recommended to elucidate the role of TAAR1 in ovarian cancer progression and its potential interaction with dopamine receptor D2 (D2R), given the known interactions in other cell types and the implications for tumorigenesis.",TTF1
Diagnostic biomarkers in ovarian cancer: advances beyond CA125 and HE4,2024,"Use CA125 and HE4 in combination as serum biomarkers in a multivariate index assay (e.g., ROMA) to improve specificity and sensitivity for early detection and diagnosis of epithelial ovarian cancer.",NACA2
Diagnostic biomarkers in ovarian cancer: advances beyond CA125 and HE4,2024,"Employ multivariate index assays such as OVA1, ROMA, and Overa that combine CA125, HE4, and other serum biomarkers to stratify risk and guide clinical decision-making for women presenting with pelvic masses.",NACA2
Diagnostic biomarkers in ovarian cancer: advances beyond CA125 and HE4,2024,Incorporate VEGF measurement as an angiogenesis-related biomarker alongside CA125 and HE4 to improve early detection accuracy of ovarian cancer.,MTX1
Diagnostic biomarkers in ovarian cancer: advances beyond CA125 and HE4,2024,"Use Osteopontin (OPN) as an additional serum biomarker in combination with CA125 and HE4 to improve diagnostic accuracy and potentially guide treatment decisions, especially in aggressive disease cohorts.",MTX1
Diagnostic biomarkers in ovarian cancer: advances beyond CA125 and HE4,2024,"Measure Mesothelin (MSLN) levels in plasma, peritoneal fluid, and tumor tissue as a diagnostic biomarker to improve detection and prognostication of epithelial ovarian cancer, especially in advanced stages.",MTX1
Diagnostic biomarkers in ovarian cancer: advances beyond CA125 and HE4,2024,"Evaluate Interleukin-6 (IL-6) levels in serum and ascitic fluid in combination with CA125, HE4, ROMA, and RMI to enhance sensitivity, specificity, and diagnostic accuracy for ovarian cancer, particularly in advanced disease.",MTX1
Diagnostic biomarkers in ovarian cancer: advances beyond CA125 and HE4,2024,"Develop and validate microRNA (miRNA) signatures, including miR-141 and miR-200a, as non-invasive biomarkers for early detection and treatment response prediction in epithelial ovarian cancer.",NACA2
Diagnostic biomarkers in ovarian cancer: advances beyond CA125 and HE4,2024,"Utilize circulating tumor cells (CTCs) detection and molecular profiling with markers such as EpCAM, MUC16, and ERCC1 to assess minimal residual disease, predict platinum resistance, and tailor treatment strategies in ovarian cancer patients.","NACA2, PPIG"
14,2010,Use apolipoprotein A1 serum levels in combination with CA125 levels at defined thresholds (CA125 > 21 U/ml and apolipoprotein A1 ≤ 139.1 mg/dl) to improve sensitivity and specificity of ovarian cancer detection.,NACA2
14,2010,Combine transferrin serum levels with CA125 levels (CA125 > 21 U/ml and transferrin ≤ 2.3 g/l) to increase test specificity up to 96.7% for ovarian cancer diagnostics.,NACA2
14,2010,"Avoid using combined biomarker tests consisting of apolipoprotein A1, transferrin, and CA125 simultaneously due to high specificity but unacceptable sensitivity.",NACA2
Usefulness of Amino Acid Profiling in Ovarian Cancer Screening with Special Emphasis on Their Role in Cancerogenesis,2016,"Use serum-free amino acid profiling, specifically measuring histidine and citrulline levels, as potential biomarkers for ovarian cancer (OC) screening to improve early detection.",HIST2H2AC
Usefulness of Amino Acid Profiling in Ovarian Cancer Screening with Special Emphasis on Their Role in Cancerogenesis,2016,"Develop multi-marker diagnostic models incorporating histidine, citrulline, alanine, asparagine, and ornithine amino acid levels to enhance sensitivity and specificity in distinguishing OC patients from benign ovarian tumor (BOT) and healthy controls.",HIST2H2AC
Usefulness of Amino Acid Profiling in Ovarian Cancer Screening with Special Emphasis on Their Role in Cancerogenesis,2016,Monitor alterations in amino acid metabolism pathways involving histidine and citrulline to understand tumor growth mechanisms and potentially target metabolic dysregulation in OC treatment strategies.,HIST2H2AC
Evaluation of Combined Cancer Markers With Lactate Dehydrogenase and Application of Machine Learning Algorithms for Differentiating Benign Disease From Malignant Ovarian Cancer,2021,Use the combination of ROMA (which includes CA125 and HE4) with lactate dehydrogenase (LD) classified by random forest machine learning algorithm as a diagnostic tool to improve differentiation of early stage ovarian cancer from benign ovarian conditions.,ACPP
Evaluation of Combined Cancer Markers With Lactate Dehydrogenase and Application of Machine Learning Algorithms for Differentiating Benign Disease From Malignant Ovarian Cancer,2021,"In postmenopausal women, combine HE4, CA125, and LD markers to enhance diagnostic accuracy for ovarian cancer.",ACPP
Evaluation of Combined Cancer Markers With Lactate Dehydrogenase and Application of Machine Learning Algorithms for Differentiating Benign Disease From Malignant Ovarian Cancer,2021,"In clinical settings, consider routinely measuring lactate dehydrogenase (LD) alongside ovarian cancer-specific markers (ROMA, HE4, CA125) to improve early detection and management of ovarian cancer.",ACPP
djp438.indd,2009,"Use serum concentrations of CA125, HE4, and mesothelin as biomarkers to provide evidence of ovarian cancer up to 3 years before clinical diagnosis, with the understanding that the lead time for detection is likely less than 1 year.",ACPP
djp438.indd,2009,"Incorporate CA125, HE4, and mesothelin levels into risk prediction models for ovarian cancer, as these markers are associated with statistically significant increased risk and improve predictive accuracy compared to other markers.",ACPP
djp438.indd,2009,"Do not rely on B7-H4, DcR3, and spondin-2 as early detection biomarkers for ovarian cancer, as their levels do not rise appreciably before diagnosis and they do not improve risk prediction when combined with CA125, HE4, and mesothelin.",ACPP
djp438.indd,2009,"Use composite markers combining CA125, HE4, and mesothelin to marginally improve early detection performance, but recognize that adding B7-H4, DcR3, and spondin-2 does not provide additional benefit.",ACPP
"Assessment of galectins -1, -3, -4, -8, and -9 expression in ovarian carcinoma patients with clinical implications",2010,"Consider galectins -1, -3, -4, -8, and -9 as promising biomarkers for targeted therapy in ovarian carcinoma to reduce disease progression and metastasis.","NACA2, EIF4A1, HSP90B3P, TUBBP6, FXR2, EIF5AL1, NPIP, RACGAP1P, DYNC1I2, KDM3B, EEA1, POTEE, KIAA1751, TTF1, GBAP1, MTX1, ACPP, RPL19P12, PSMD14, PPIG, C17orf74, CCDC112, BBS5, LEMD2, SMURF1, SPDYE3, PCDP1, CAPN5, HIST2H2AC, NUP214, GPN3, SS18, WDR60, C18orf21, DVL2, RNASEK, TEX11, LRRC37A3, CDKN2AIPNL, LSMD1, WBP11P1, ICT1, TOR1B, EPHB2, PHKA2, CLK2P, CLPP, CYB5D1, MED31, ITPR2, ATP5L2, CRYBG3, MPDU1, UBR3, ORC2L, LARS2, GTF2F1, ZNF511, SSB, RBM41, GPR123, CHCHD3, GLRX3, PELP1, C17orf81"
"Assessment of galectins -1, -3, -4, -8, and -9 expression in ovarian carcinoma patients with clinical implications",2010,"Use galectin-9 expression as a predictive biomarker for lymph node metastasis in ovarian carcinoma patients, with fair specificity (89%) and moderate sensitivity (43%).","NACA2, EIF4A1, HSP90B3P, TUBBP6, FXR2, EIF5AL1, NPIP, RACGAP1P, DYNC1I2, KDM3B, EEA1, POTEE, KIAA1751, TTF1, GBAP1, MTX1, ACPP, RPL19P12, PSMD14, PPIG, C17orf74, CCDC112, BBS5, LEMD2, SMURF1, SPDYE3, PCDP1, CAPN5, HIST2H2AC, NUP214, GPN3, SS18, WDR60, C18orf21, DVL2, RNASEK, TEX11, LRRC37A3, CDKN2AIPNL, LSMD1, WBP11P1, ICT1, TOR1B, EPHB2, PHKA2, CLK2P, CLPP, CYB5D1, MED31, ITPR2, ATP5L2, CRYBG3, MPDU1, UBR3, ORC2L, LARS2, GTF2F1, ZNF511, SSB, RBM41, GPR123, CHCHD3, GLRX3, PELP1, C17orf81"
"Assessment of galectins -1, -3, -4, -8, and -9 expression in ovarian carcinoma patients with clinical implications",2010,Consider galectin-4 expression as a biomarker correlated with CA19.9 levels for diagnosis or prognosis in ovarian carcinoma.,"NACA2, EIF4A1, HSP90B3P, TUBBP6, FXR2, EIF5AL1, NPIP, RACGAP1P, DYNC1I2, KDM3B, EEA1, POTEE, KIAA1751, TTF1, GBAP1, MTX1, ACPP, RPL19P12, PSMD14, PPIG, C17orf74, CCDC112, BBS5, LEMD2, SMURF1, SPDYE3, PCDP1, CAPN5, HIST2H2AC, NUP214, GPN3, SS18, WDR60, C18orf21, DVL2, RNASEK, TEX11, LRRC37A3, CDKN2AIPNL, LSMD1, WBP11P1, ICT1, TOR1B, EPHB2, PHKA2, CLK2P, CLPP, CYB5D1, MED31, ITPR2, ATP5L2, CRYBG3, MPDU1, UBR3, ORC2L, LARS2, GTF2F1, ZNF511, SSB, RBM41, GPR123, CHCHD3, GLRX3, PELP1, C17orf81"
Aurora Kinase A expression predicts platinum-resistance and adverse outcome in high-grade serous ovarian carcinoma patients,2000,Use AURKA expression levels as a predictive biomarker to stratify high-grade serous ovarian carcinoma (HGSOC) patients into platinum-sensitive and platinum-resistant groups to guide chemotherapy decisions and avoid unnecessary side effects.,TTF1
Aurora Kinase A expression predicts platinum-resistance and adverse outcome in high-grade serous ovarian carcinoma patients,2000,"Consider targeting AURKA as a therapeutic strategy in epithelial ovarian cancer (EOC) treatment, especially for patients with platinum-resistant disease.",TTF1
Aurora Kinase A expression predicts platinum-resistance and adverse outcome in high-grade serous ovarian carcinoma patients,2000,"For patients with intermediate AURKA expression scores (3–6), perform further molecular analyses such as FISH to better characterize AURKA expression and refine treatment decisions.",TTF1
2,2024,Combine CA-125 biomarker testing with transvaginal ultrasound every 6 to 12 months for women at very high risk of ovarian cancer to improve early detection.,ACPP
2,2024,Consider HE4 biomarker testing in combination with CA-125 for more accurate ovarian cancer detection and differential diagnosis between benign and malignant pelvic masses.,MTX1
2,2024,"Investigate osteopontin (OPN) as a potential biomarker and therapeutic target due to its role in tumor progression, immune modulation, and angiogenesis in ovarian cancer.",POTEE
Microvesicles as Potential Ovarian Cancer Biomarkers,2013,"Use microvesicles (MVs) derived from ovarian cancer cells as noninvasive biomarkers for early diagnosis, prognosis, and monitoring of ovarian cancer progression and therapeutic response.","PPIG, HSP90B3P, EIF4A1, EIF5AL1, RPL19P12, PSMD14, NUP214, GPN3, SS18, WDR60, DVL2, RNASEK, TEX11, CDKN2AIPNL, ICT1, TOR1B, EPHB2, PHKA2, CLK2P, CLPP, CYB5D1, MED31, ITPR2, ATP5L2, MPDU1, UBR3, ORC2L, LARS2, GTF2F1, ZNF511, SSB, RBM41, GPR123, CHCHD3, GLRX3, PELP1"
Microvesicles as Potential Ovarian Cancer Biomarkers,2013,Develop and implement sensitive and specific methods to isolate and quantify tumor-derived microvesicles from blood and other biological fluids to improve ovarian cancer diagnosis and prognosis.,"PPIG, HSP90B3P, EIF4A1, EIF5AL1, RPL19P12, PSMD14, NUP214, GPN3, SS18, WDR60, DVL2, RNASEK, TEX11, CDKN2AIPNL, ICT1, TOR1B, EPHB2, PHKA2, CLK2P, CLPP, CYB5D1, MED31, ITPR2, ATP5L2, MPDU1, UBR3, ORC2L, LARS2, GTF2F1, ZNF511, SSB, RBM41, GPR123, CHCHD3, GLRX3, PELP1"
Microvesicles as Potential Ovarian Cancer Biomarkers,2013,Utilize microvesicle-associated microRNA (miRNA) signatures as novel serum diagnostic biomarkers for ovarian cancer to complement or improve upon CA125 testing.,"PPIG, HSP90B3P, EIF4A1, EIF5AL1, RPL19P12, PSMD14, NUP214, GPN3, SS18, WDR60, DVL2, RNASEK, TEX11, CDKN2AIPNL, ICT1, TOR1B, EPHB2, PHKA2, CLK2P, CLPP, CYB5D1, MED31, ITPR2, ATP5L2, MPDU1, UBR3, ORC2L, LARS2, GTF2F1, ZNF511, SSB, RBM41, GPR123, CHCHD3, GLRX3, PELP1"
Microvesicles as Potential Ovarian Cancer Biomarkers,2013,"Consider targeting pathways involved in microvesicle shedding and cargo (e.g., proteases like uPA, MMPs, and caspase 3) to potentially inhibit tumor progression, invasion, and drug resistance in ovarian cancer.","PPIG, HSP90B3P, EIF4A1, EIF5AL1, RPL19P12, PSMD14, NUP214, GPN3, SS18, WDR60, DVL2, RNASEK, TEX11, CDKN2AIPNL, ICT1, TOR1B, EPHB2, PHKA2, CLK2P, CLPP, CYB5D1, MED31, ITPR2, ATP5L2, MPDU1, UBR3, ORC2L, LARS2, GTF2F1, ZNF511, SSB, RBM41, GPR123, CHCHD3, GLRX3, PELP1"
"Biological markers of prognosis, response to therapy and outcome in ovarian carcinoma",2016,Target mesothelin for antibody-based therapy or chimeric antigen receptor (CAR) T cell adoptive therapy in ovarian carcinoma patients with high mesothelin expression.,POTEE
"Biological markers of prognosis, response to therapy and outcome in ovarian carcinoma",2016,Use serum mesothelin levels as a diagnostic biomarker with higher specificity than CA125 for early-stage ovarian carcinoma.,POTEE
"Biological markers of prognosis, response to therapy and outcome in ovarian carcinoma",2016,"Use circulating soluble epidermal growth factor receptor (sEGFR) levels in combination with CA125 to improve risk assessment, early detection, and diagnosis of ovarian carcinoma.",EPHB2
